timestamp,ax,ay,az,gx,gy,gz
0.0,0.3162,0.0774,-1.3201,37.625,-138.156,2.969
5.0,0.3234,0.10944,-1.25062,32.0002,-127.3812,3.5872
10.0,0.32036000000000003,0.11871999999999999,-1.24722,23.7938,-114.3186,5.2184
15.0,0.30310000000000004,0.11125,-1.2978,14.531500000000001,-97.76575,7.242500000000001
20.0,0.26883999999999997,0.09176,-1.39754,6.9562,-78.59360000000001,8.6876
25.0,0.2299,0.073,-1.5121,4.312,-61.5625,8.8905
30.0,0.19474,0.061439999999999995,-1.62576,7.012,-47.568599999999996,8.119
35.0,0.1699,0.05872,-1.71644,13.818399999999999,-38.2124,7.0626
40.0,0.145725,0.06284999999999999,-1.7994750000000002,25.523,-30.945500000000003,5.85175
45.0,0.12068,0.07003999999999999,-1.85398,38.5376,-26.5188,4.8187999999999995
50.0,0.0854,0.0781,-1.8999,54.531,-22.688,3.469
55.0,0.0554,0.0825,-1.9312,68.062,-20.25,1.844
60.0,0.0346,0.0841,-1.96364,84.3502,-19.1124,-0.9627999999999999
65.0,0.036125,0.0834,-1.9818,98.92175,-20.22625,-3.6715
70.0,0.06265,0.0819,-1.9801,116.781,-24.25,-6.343999999999999
75.0,0.09845999999999999,0.07986,-1.95398,132.5314,-28.8688,-7.4316
80.0,0.13068000000000002,0.07638,-1.91132,146.2062,-32.694,-6.994000000000001
85.0,0.156,0.071025,-1.8463749999999999,160.24975,-35.50025,-4.977
90.0,0.14201739130434782,0.06461739130434782,-1.7826391304347826,166.32991304347826,-34.055956521739134,-2.7477391304347822
95.0,0.11903913043478259,0.05813913043478261,-1.7218130434782608,170.2973043478261,-31.664652173913044,-0.6349130434782606
100.0,0.09606086956521738,0.05166086956521739,-1.6609869565217392,174.2646956521739,-29.273347826086958,1.477913043478261
105.0,0.07308260869565217,0.045182608695652174,-1.6001608695652174,178.23208695652175,-26.88204347826087,3.590739130434783
110.0,0.0464,0.035075,-1.545225,181.1405,-23.95325,5.140499999999999
115.0,0.008299999999999997,0.01198,-1.52256,180.08159999999998,-18.9684,4.119
120.0,-0.027850000000000003,-0.008450000000000001,-1.5190000000000001,179.813,-13.234000000000002,2.094
125.0,-0.06268,-0.0218,-1.52984,180.8002,-6.806,-0.7559999999999999
130.0,-0.09078,-0.02876,-1.54868,182.9314,-0.9938000000000002,-3.9124
135.0,-0.116675,-0.03685,-1.5766,186.75824999999998,4.93725,-8.016
140.0,-0.13356,-0.04896,-1.6031600000000001,191.7128,9.2808,-12.012400000000001
145.0,-0.1479,-0.0686,-1.626,199.406,13.156,-16.625
150.0,-0.1589,-0.0862,-1.6304,207.812,15.5,-20.531
155.0,-0.17542,-0.09978000000000001,-1.6130200000000001,219.2252,17.2876,-25.8058
160.0,-0.19242,-0.10236,-1.5859400000000001,228.3188,17.938,-30.9686
165.0,-0.211575,-0.09622499999999999,-1.553425,236.00025,17.77375,-37.39075
170.0,-0.2284,-0.08538,-1.52596,241.66899999999998,16.9062,-45.1684
175.0,-0.2318,-0.0774,-1.5177,245.2815,15.906500000000001,-52.562
180.0,-0.21402,-0.07452,-1.5311,248.8748,15.1126,-59.111999999999995
185.0,-0.169775,-0.07315,-1.563075,254.17975,14.5705,-64.42975
190.0,-0.11216,-0.06688,-1.59644,260.86899999999997,14.244200000000001,-67.6442
195.0,-0.0415,-0.0508,-1.6243,270.031,14.438,-69.531
200.0,0.008800000000000002,-0.0337,-1.6301,278.281,15.656,-69.656
205.0,0.04874,-0.01996,-1.61408,288.4376,18.712,-68.3566
210.0,0.06655,-0.017525,-1.5821749999999999,297.445,22.195,-66.578
215.0,0.06966,-0.0235,-1.52734,307.094,26.1064,-64.5814
220.0,0.060200000000000004,-0.032600000000000004,-1.4585,315.5,29.219,-63.0935
225.0,0.04222,-0.04068,-1.38,322.3496,31.4316,-62.262
230.0,0.0221,-0.045840000000000006,-1.30896,326.9062,32.619,-62.062
235.0,-0.0011500000000000017,-0.0509,-1.238,330.2735,33.03875,-62.203
240.0,-0.022,-0.0605,-1.1846,332.406,32.0,-62.375
245.0,-0.0332,-0.0764,-1.1665,333.844,29.438,-62.312
250.0,-0.040780000000000004,-0.10556,-1.1729,336.5438,24.019199999999998,-62.012
255.0,-0.044000000000000004,-0.13366,-1.19318,340.26279999999997,17.9064,-61.8184
260.0,-0.0432,-0.160625,-1.221375,346.305,10.078,-61.9845
265.0,-0.03468,-0.17964,-1.2445199999999998,355.7188,0.056400000000000006,-62.8188
270.0,-0.0178,-0.18325,-1.24525,366.7345,-10.797,-64.1095
275.0,0.0052,-0.17318,-1.21946,378.1252,-22.287599999999998,-65.6252
280.0,0.0268,-0.15732,-1.17766,387.1002,-32.1436,-66.8624
285.0,0.047275,-0.1396,-1.1224750000000001,394.54724999999996,-41.13275,-67.85125000000001
290.0,0.0677695652173913,-0.1357913043478261,-1.0854608695652175,399.5411304347826,-40.51082608695652,-68.71586956521739
295.0,0.08835652173913043,-0.1355304347826087,-1.0542869565217392,404.0450434782609,-37.555608695652175,-69.57195652173912
300.0,0.10894347826086956,-0.1352695652173913,-1.023113043478261,408.5489565217391,-34.60039130434782,-70.42804347826088
305.0,0.12953043478260867,-0.1350086956521739,-0.9919391304347825,413.0528695652174,-31.64517391304348,-71.28413043478261
310.0,0.15875,-0.132475,-0.9581,418.92175,-26.48425,-71.96124999999999
315.0,0.22004,-0.11785999999999999,-0.9154,429.36899999999997,-13.418800000000001,-71.2252
320.0,0.2832,-0.09434999999999999,-0.8688,438.6875,-1.3905000000000003,-68.23400000000001
325.0,0.34138,-0.0703,-0.8140999999999999,445.606,7.7314,-62.8062
330.0,0.3878,-0.056225,-0.743125,449.20325,13.04675,-54.820750000000004
335.0,0.41294,-0.06068,-0.66228,448.8438,14.806000000000001,-45.9628
340.0,0.4226,-0.085,-0.5544,444.688,15.281,-34.781
345.0,0.416,-0.116,-0.458,438.531,15.406,-25.031
350.0,0.39476,-0.15372,-0.34874,429.3688,14.6248,-13.693999999999999
355.0,0.3689,-0.18217999999999998,-0.26702000000000004,421.194,12.0376,-5.0502
360.0,0.336125,-0.20929999999999999,-0.19235000000000002,412.57825,6.25825,2.6875
365.0,0.29704,-0.23926,-0.12409999999999999,403.4938,-3.3062,9.2126
370.0,0.2579,-0.26895,-0.0775,395.547,-13.625,13.5
375.0,0.21731999999999999,-0.29714,-0.057839999999999996,389.00600000000003,-22.8188,16.025199999999998
380.0,0.17495,-0.32077500000000003,-0.071375,384.70325,-29.7815,16.922
385.0,0.1398,-0.33364,-0.11062,384.2434,-33.894,16.0752
390.0,0.1084,-0.3357,-0.1699,388.375,-37.219,13.219
395.0,0.0925,-0.3257,-0.2144,395.938,-39.281,9.062
