label,n_samples,peak_mag_g,ax_mean,ax_std,ax_min,ax_max,ay_mean,ay_std,ay_min,ay_max,az_mean,az_std,az_min,az_max,gx_mean,gx_std,gx_min,gx_max,gy_mean,gy_std,gy_min,gy_max,gz_mean,gz_std,gz_min,gz_max
still,102,0.05394188169936576,0.0374421568627451,0.0006152372847695024,0.0359,0.0386,0.013772549019607843,0.0006545701871839407,0.0125,0.0154,-1.0514882352941177,0.0007781695613459264,-1.0532,-1.0496,4.458294117647059,0.13423878258428767,4.062,4.875,2.751529411764706,0.11954576659764532,2.469,3.0,0.07296078431372549,0.2298784385307714,-0.375,0.594
still,104,0.10519024154215195,0.03731442307692308,0.001109696620809799,0.0334,0.0405,0.013804807692307693,0.000703614269284548,0.0122,0.0156,-1.0518990384615383,0.01429715877632488,-1.1045,-0.9958,4.435740384615385,0.1752440603181036,4.031,4.781,2.736769230769231,0.15939966887628662,2.375,3.031,0.033375,0.22831069365349155,-0.344,0.562
still,101,0.06415095263782944,0.037190099009900994,0.0013289990985920293,0.0337,0.04,0.013894059405940594,0.001102636065753627,0.012,0.0161,-1.0515584158415843,0.004762752913203055,-1.0635,-1.0361,4.441554455445544,0.11778680818801106,4.125,4.781,2.7607920792079206,0.14987528259623284,2.5,3.156,0.04671287128712871,0.238481887417911,-0.438,0.594
still,105,0.06164205361317521,0.0373352380952381,0.0011853053416037858,0.0337,0.0403,0.013760000000000001,0.0010050917986977727,0.0117,0.0159,-1.051195238095238,0.003327243416528832,-1.061,-1.041,4.434238095238095,0.1527533039972824,4.125,4.844,2.750304761904762,0.1417884489760663,2.5,3.125,0.034485714285714286,0.20633265393929448,-0.312,0.594
still,101,0.394918506580223,0.047012871287128714,0.05696657290367197,-0.031,0.3528,0.007342574257425743,0.023298133807619723,-0.0874,0.0513,-1.0768148514851485,0.05979598215936991,-1.3494,-1.0457,10.021336633663367,13.113700011273998,-2.125,49.0,18.219356435643565,37.1568429985047,-4.531,142.344,15.211653465346535,21.844063890589393,-0.156,69.688
still,104,0.5180531150127785,-0.0010923076923076932,0.3756975260694094,-0.7073,0.4141,-0.2908307692307692,0.17970506289522706,-0.6365,-0.0088,-0.5648682692307692,0.6657996050534366,-1.4717,0.5432,271.33290384615384,101.75590009642224,54.188,469.5,-14.534269230769231,49.64848597432654,-98.938,126.875,150.88126923076922,35.70704384217133,44.875,209.25
still,101,0.1893669282437611,-0.8924861386138613,0.07150086066047533,-1.0286,-0.7126,-0.060309900990099016,0.029995334637076432,-0.167,-0.0217,0.5267821782178218,0.05516135538516647,0.4338,0.6304,43.868801980198015,57.002512940093624,-15.719,169.812,4.984247524752475,9.030461241036374,-18.312,26.75,31.296148514851485,53.94821674539063,-34.219,143.0
still,104,0.353078013271962,-0.44387788461538463,0.5827658160340505,-1.0847,0.5417,-0.20773846153846154,0.08997136543163683,-0.3672,-0.0513,0.20873557692307693,0.5473592265312588,-1.0386,0.7673,-239.5504903846154,148.1231260889578,-461.594,-14.188,-24.288163461538463,37.47770930836257,-108.156,50.531,-157.59315384615383,73.03994485142638,-258.219,-28.656
still,101,0.7398705009281583,0.23589603960396038,0.14949277734848854,0.0447,0.5549,-0.24001782178217823,0.09613194974404712,-0.449,-0.0647,-1.171310891089109,0.16324457439530107,-1.6667,-1.0376,-36.595,92.70115093083251,-240.594,65.281,-0.5544653465346538,47.80168054682057,-112.281,91.094,-4.8855346534653465,22.36733575780237,-63.094,23.281
still,104,0.23772484018056272,0.5860576923076923,0.29896260336379726,0.0337,0.95,0.02016346153846154,0.3312588527286398,-0.4849,0.5259,-0.6801807692307692,0.1464054269938599,-1.0146,-0.4604,8.015625,38.576726870013296,-52.125,72.938,78.9611923076923,24.427009395369694,29.688,122.656,-123.11599038461539,29.169416582762736,-181.156,-63.812
still,101,0.2974767589440668,0.9026059405940594,0.03006494890779218,0.8582,1.0112,0.4333930693069307,0.048326929658145217,0.3794,0.5413,-0.48568019801980195,0.042560540502695456,-0.6245,-0.4214,-1.806930693069307,10.419112561986983,-35.688,12.969,10.218475247524752,10.34300918025565,-2.531,49.906,-1.6840693069306931,16.38201550799252,-61.812,10.438
still,103,0.1717487913371194,0.9083951456310679,0.033629897062511245,0.845,0.9817,0.36321553398058254,0.04827938866996902,0.2578,0.4363,-0.5010776699029126,0.05004702823692279,-0.6006,-0.436,1.569504854368932,11.999315841236259,-21.094,16.875,-23.35714563106796,17.43584478501518,-55.094,7.875,39.29823300970874,29.698755738770327,4.375,90.125
still,102,0.14502249322884486,0.4760754901960784,0.2734706524155798,0.0657,0.9431,-0.12942647058823528,0.20095529203618195,-0.332,0.2766,-0.8064960784313726,0.13937438853928555,-1.053,-0.5725,-35.564313725490194,7.963800203790276,-49.469,-18.312,-83.1044705882353,39.395927656744036,-173.938,-21.875,99.33761764705882,36.664694533517654,30.438,147.281
still,104,0.12239580362722324,0.05703461538461538,0.0428611393142274,-0.0115,0.1567,-0.08727596153846154,0.05830007668419602,-0.2031,-0.0049,-1.0746807692307692,0.04091215278572041,-1.1174,-0.9639,-18.064903846153847,14.598115993115233,-37.562,16.438,-15.952567307692307,19.027592160801046,-47.188,7.594,1.5441442307692308,15.278190720774216,-17.594,29.562
still,101,0.07559376160332931,0.07228019801980198,0.016727170165421478,0.0388,0.0996,-0.041704950495049506,0.009254909066502622,-0.0657,-0.0164,-1.046540594059406,0.01357405926005955,-1.0713,-1.019,6.316900990099009,3.2227816209503946,2.906,16.625,4.143267326732674,1.9845630683101947,0.438,10.25,-1.2373069306930693,2.668329294263591,-8.281,2.5
